angle,stiffness,camera
165,4,62.88971109188188
46,0,126.78415277989394
127,13,86.96747775671403
16,-5,127.3820070629914
39,14,126.48101823607328
62,14,117.12742257456895
60,10,118.91319824317046
149,15,71.36180424721816
157,-9,69.5515534504235
15,11,146.6478851082102
127,17,86.76800240598003
25,9,127.54137700921395
88,-6,111.96342058055107
122,12,89.85310899135456
168,-3,61.25938604148322
176,2,57.67882889430846
161,3,65.30800791365165
16,14,146.40936580175637
43,3,141.7909365979433
155,-9,71.47373494989391
152,-6,73.20924684262565
174,5,56.581290358636465
147,-3,76.0439964605196
103,16,101.0065395841009
97,-9,107.5627625696294
100,7,104.01932708828424
33,-1,126.99739609648765
92,3,107.85654159575918
1,-1,149.38021056770793
68,15,116.08344083712655
54,8,129.8575075121826
118,-4,94.16473444947788
74,-6,117.59768448937605
120,-3,92.77260199412332
81,6,113.31122180439641
103,0,103.42941575761704
48,2,124.95620441562201
105,6,100.78669789183601
21,-3,146.75243892758962
93,-1,108.93924277500999
92,-3,109.92472290948753
45,19,130.7880988077141
159,0,67.82709834673446
64,0,120.85688148439407
54,6,121.65716630157694
69,7,116.45204189657733
64,16,116.95355015446835
104,4,101.9954902798188
88,-3,111.90494398475035
19,-6,147.73195460608207
156,-1,69.12063415305293
3,0,149.37544256344472
144,0,77.34590283376804
28,8,144.7953415557036
76,-2,116.63039202346381
31,19,133.57221675130734
75,4,117.17858415390452
135,-7,83.76996193644993
141,-5,79.95628134007879
51,3,130.7185398225466
121,-7,92.65054507377539
64,8,118.99162905832777
45,5,131.53200846021969
108,-2,100.44192449410511
144,-2,77.2982628999381
88,-5,113.50591034704544
107,-2,100.71586310850641
115,-8,96.72260131090351
127,12,88.04813306029554
85,-3,112.62709376932071
31,-2,145.49874208826836
88,0,112.1251357264462
164,-7,64.78821733875378
163,14,63.87834002689668
167,0,63.51808015959163
119,-7,93.67567127527931
57,12,120.9021003562687
95,18,105.35664914350701
6,-1,149.1375909013318
147,10,74.25952500573705
53,-2,124.50985163386844
74,-6,117.04946543117416
56,-7,129.92345957964912
53,10,129.75851748640827
124,4,89.28788573806871
130,0,86.39302009719631
103,17,101.07087930050581
95,-9,109.21934557478122
93,16,106.62556972085738
39,16,125.67968514127925
143,14,76.41635815883821
99,6,104.41152921860689
105,13,100.19083056982066
109,10,98.04900619952107
139,-1,80.66910029390046
25,17,127.03630707359753
89,16,108.64046553630442
55,5,122.8308328615581
14,9,146.83604285899577
79,-5,115.5462579615042
130,-9,86.67279774890268
74,-9,118.59374264336715
84,6,113.38041729936813
24,16,144.0110676436491
160,6,66.19066177085132
23,-6,146.617115772938
152,18,69.83888640912616
14,-2,148.05191087012258
75,8,115.40612879900017
124,-1,90.4939957573803
10,9,147.56782232497233
111,4,98.04967341663382
130,3,86.45404493275245
143,7,77.83997917403516
42,16,124.67259909878932
94,10,106.8933673351757
73,0,116.76328863635692
145,13,75.7172029647449
90,19,107.8156854257022
87,18,109.32629995667358
33,0,127.50965829673417
122,-3,90.78646631587146
75,5,114.88947001082754
101,-5,104.54358397352676
105,-2,101.8250938030667
51,-1,125.78144996467208
69,12,115.95286570193619
118,-3,93.73119753222718
54,18,120.31583697522005
166,12,60.25511870305777
100,19,102.20149136628578
83,15,112.09833769209953
30,13,127.47396492886377
142,13,76.62746178855002
88,0,111.7071800856498
64,-4,121.88133899260087
70,0,117.4961625588288
113,19,94.69879273940101
101,12,102.32399427203258
127,-2,88.37833663978715
129,6,86.20514039583541
75,0,116.17756040890269
19,11,142.45706202007995
12,-7,148.13612524557078
16,-5,148.00639996494436
41,3,137.63582309636044
100,0,104.5015457669123
46,0,131.78150755395941
30,11,134.43200632318076
113,18,95.12388505488336
169,7,61.07636295290432
121,16,90.30915518823818
159,1,67.94022497997403
92,1,109.99019002483126
108,2,100.31237549123917
100,2,105.07452716521911
158,4,67.88442900404753
85,-8,114.17260901938454
26,7,144.99297539560277
91,-7,111.57380346486495
9,-6,148.68054090109564
28,14,145.48534455117212
29,0,146.06235789124085
104,3,102.05273415074888
179,-1,53.84818553612106
130,-1,86.92293949537121
19,7,146.6112374048378
29,18,145.60950514489136
33,1,145.39582761360293
20,14,145.9501656032811
59,4,128.0375806687902
86,16,111.17181461642735
151,19,71.3289283908433
124,0,90.5208480240237
